sz.év.;Kategória;nem;1.nap összidõ;2.nap összidõ;3.nap összidõ;4.nap összidõ;eredmény;Megtett táv (km);befejezte;eredmény(perc);átlagos tempó (perc/km);sebesség kategória
1977.0;F3;F;0 days 03:08:51;0 days 03:30:32;0 days 02:53:54;0 days 03:28:51;0 days 13:02:08;196.0;True;782.0;3.989795918367347;gyors
1988.0;F1;F;0 days 03:13:57;0 days 03:40:22;0 days 02:48:22;0 days 03:24:07;0 days 13:06:48;196.0;True;786.0;4.010204081632653;gyors
1982.0;F2;F;0 days 03:23:21;0 days 03:53:42;0 days 03:04:38;0 days 03:43:54;0 days 14:05:35;196.0;True;845.0;4.311224489795919;gyors
1986.0;F1;F;0 days 03:31:41;0 days 03:59:24;0 days 03:05:44;0 days 03:45:58;0 days 14:22:47;196.0;True;862.0;4.3979591836734695;gyors
1978.0;F3;F;0 days 03:31:31;0 days 04:00:30;0 days 03:17:03;0 days 03:53:35;0 days 14:42:39;196.0;True;882.0;4.5;gyors
1980.0;F2;F;0 days 03:35:10;0 days 03:54:58;0 days 03:11:55;0 days 04:05:37;0 days 14:47:40;196.0;True;887.0;4.525510204081633;gyors
1976.0;F3;F;0 days 03:44:16;0 days 04:09:17;0 days 03:19:03;0 days 04:00:19;0 days 15:12:55;196.0;True;912.0;4.653061224489796;gyors
1980.0;F2;F;0 days 03:38:15;0 days 04:07:52;0 days 03:10:26;0 days 04:26:53;0 days 15:23:26;196.0;True;923.0;4.709183673469388;gyors
1975.0;F3;F;0 days 03:44:35;0 days 04:16:41;0 days 03:27:58;0 days 04:10:16;0 days 15:39:30;196.0;True;939.0;4.790816326530612;gyors
1966.0;F4;F;0 days 03:57:14;0 days 04:19:48;0 days 03:24:39;0 days 04:12:55;0 days 15:54:36;196.0;True;954.0;4.86734693877551;gyors
1980.0;N2;N;0 days 03:53:25;0 days 04:22:17;0 days 03:29:33;0 days 04:14:00;0 days 15:59:15;196.0;True;959.0;4.892857142857143;gyors
1972.0;F3;F;0 days 03:43:49;0 days 04:21:45;0 days 03:32:37;0 days 04:23:49;0 days 16:02:00;196.0;True;962.0;4.908163265306122;gyors
1977.0;F3;F;0 days 03:58:30;0 days 04:28:06;0 days 03:28:36;0 days 04:12:57;0 days 16:08:09;196.0;True;968.0;4.938775510204081;gyors
1974.0;F3;F;0 days 03:49:30;0 days 04:41:24;0 days 03:35:17;0 days 04:12:13;0 days 16:18:24;196.0;True;978.0;4.989795918367347;gyors
1981.0;F2;F;0 days 03:58:36;0 days 04:25:40;0 days 03:35:06;0 days 04:20:06;0 days 16:19:28;196.0;True;979.0;4.994897959183674;gyors
1964.0;F4;F;0 days 04:03:21;0 days 04:26:38;0 days 03:26:26;0 days 04:25:00;0 days 16:21:25;196.0;True;981.0;5.005102040816326;gyors
1976.0;F3;F;0 days 03:59:25;0 days 04:31:01;0 days 03:34:02;0 days 04:22:41;0 days 16:27:09;196.0;True;987.0;5.035714285714286;gyors
1984.0;F2;F;0 days 03:59:10;0 days 04:37:30;0 days 03:29:53;0 days 04:20:44;0 days 16:27:17;196.0;True;987.0;5.035714285714286;gyors
1978.0;F3;F;0 days 03:56:26;0 days 04:27:01;0 days 03:41:36;0 days 04:28:57;0 days 16:34:00;196.0;True;994.0;5.071428571428571;gyors
1976.0;N2;N;0 days 03:58:42;0 days 04:32:07;0 days 03:40:07;0 days 04:24:01;0 days 16:34:57;196.0;True;994.0;5.071428571428571;gyors
1981.0;F2;F;0 days 04:01:33;0 days 04:35:25;0 days 03:39:09;0 days 04:21:03;0 days 16:37:10;196.0;True;997.0;5.086734693877551;gyors
1977.0;F3;F;0 days 03:55:09;0 days 04:39:34;0 days 03:34:47;0 days 04:27:48;0 days 16:37:18;196.0;True;997.0;5.086734693877551;gyors
1981.0;F2;F;0 days 03:55:42;0 days 04:27:51;0 days 03:46:53;0 days 04:35:31;0 days 16:45:57;196.0;True;1005.0;5.127551020408164;gyors
1964.0;F4;F;0 days 03:58:40;0 days 04:34:50;0 days 03:42:25;0 days 04:32:23;0 days 16:48:18;196.0;True;1008.0;5.142857142857143;gyors
1991.0;N1;N;0 days 04:15:26;0 days 04:31:30;0 days 03:38:15;0 days 04:23:33;0 days 16:48:44;196.0;True;1008.0;5.142857142857143;gyors
1978.0;F3;F;0 days 04:11:08;0 days 04:42:24;0 days 03:37:54;0 days 04:19:52;0 days 16:51:18;196.0;True;1011.0;5.158163265306122;gyors
1990.0;F1;F;0 days 04:11:06;0 days 04:42:19;0 days 03:38:00;0 days 04:19:56;0 days 16:51:21;196.0;True;1011.0;5.158163265306122;gyors
1982.0;F2;F;0 days 04:13:01;0 days 04:48:16;0 days 03:39:53;0 days 04:10:29;0 days 16:51:39;196.0;True;1011.0;5.158163265306122;gyors
1988.0;N1;N;0 days 04:03:39;0 days 04:34:47;0 days 03:49:44;0 days 04:29:07;0 days 16:57:17;196.0;True;1017.0;5.188775510204081;gyors
